,_QDA_,_LDA_,_LSVM_,_SVM_,_KNN_,_DT_,_RF_,_GNB_
26.0,0.8196948682385575,0.7999306518723994,0.7669902912621359,0.4764216366158114,0.2420249653259362,0.5643203883495146,0.7014563106796117,0.6263869625520111
31.0,0.8512482662968099,0.8287101248266296,0.7914355062413315,0.4930651872399445,0.27548543689320387,0.6028085991678225,0.7441054091539528,0.6761442441054092
36.0,0.9074202496532594,0.8883495145631068,0.8727461858529819,0.5943134535367545,0.3110263522884882,0.6584604715672677,0.8202149791955617,0.7643897364771152
41.0,0.9240638002773925,0.9218099861303745,0.9108876560332871,0.670249653259362,0.3510748959778086,0.7040568654646324,0.8477808599167822,0.7978502080443828
46.0,0.9349861303744799,0.9259708737864077,0.9101941747572816,0.6645284327323162,0.3339112343966713,0.6966019417475728,0.8512482662968099,0.7792995839112344
51.0,0.9488557558945908,0.9492024965325936,0.9348127600554785,0.7189667128987517,0.4037794729542302,0.7291955617198336,0.8904299583911235,0.8292302357836339
56.0,0.9495492371705964,0.9474687933425797,0.9342926490984743,0.7345700416088765,0.4500693481276006,0.7161927877947295,0.883495145631068,0.8254160887656034
61.0,0.9667128987517337,0.9703536754507628,0.9606449375866851,0.7548543689320388,0.46359223300970875,0.7506934812760055,0.8977115117891817,0.8278432732316228
66.0,0.9644590846047156,0.9694868238557559,0.9561373092926491,0.7851941747572816,0.48769070735090153,0.736130374479889,0.8999653259361997,0.8469140083217753
71.0,0.9661927877947295,0.9637656033287101,0.9648058252427184,0.8042649098474342,0.5133495145631068,0.7675104022191401,0.9067267683772539,0.8505547850208044
76.0,0.9679264909847434,0.9753814147018031,0.9715672676837726,0.8111997226074896,0.5466366158113731,0.7702843273231623,0.92250346740638,0.8619972260748959
81.0,0.9672330097087378,0.9741678224687933,0.9694868238557559,0.8141470180305131,0.5695214979195562,0.7626560332871013,0.909500693481276,0.8387656033287101
86.0,0.9712205270457698,0.9771151178918169,0.9764216366158114,0.8292302357836339,0.5696948682385575,0.7824202496532594,0.92250346740638,0.8637309292649098
91.0,0.9734743411927878,0.9797156726768377,0.9719140083217753,0.8103328710124826,0.5638002773925104,0.7851941747572816,0.9223300970873787,0.8682385575589459
96.0,0.9753814147018031,0.9817961165048543,0.9743411927877947,0.8394590846047156,0.5983009708737864,0.7912621359223301,0.9221567267683772,0.8685852981969486
101.0,0.9752080443828016,0.9797156726768377,0.9769417475728155,0.8262829403606102,0.628120665742025,0.7981969486823856,0.9077669902912622,0.871012482662968
106.0,0.9755547850208044,0.9824895977808599,0.9774618585298197,0.8222954230235784,0.6451109570041609,0.7994105409153953,0.930998613037448,0.8687586685159501
111.0,0.9736477115117892,0.9824895977808599,0.9781553398058253,0.8496879334257975,0.6336685159500693,0.7933425797503467,0.92250346740638,0.8708391123439667
116.0,0.9786754507628294,0.9800624133148405,0.9769417475728155,0.8476074895977809,0.6605409153952844,0.8124133148404993,0.9204230235783634,0.8671983356449375
121.0,0.9767683772538142,0.9828363384188626,0.9795423023578363,0.8436199722607489,0.6752773925104022,0.8072122052704577,0.9266643550624133,0.8708391123439667
126.0,0.9786754507628294,0.9869972260748959,0.9823162274618585,0.8361650485436893,0.6721567267683772,0.8039181692094314,0.917995839112344,0.8493411927877947
131.0,0.978502080443828,0.9852635228848821,0.9800624133148405,0.8441400832177531,0.6938280166435506,0.8004507628294036,0.9268377253814147,0.8659847434119279
136.0,0.9800624133148405,0.9843966712898752,0.9802357836338419,0.8484743411927878,0.694868238557559,0.8046116504854369,0.9259708737864077,0.8661581137309292
141.0,0.9786754507628294,0.9823162274618585,0.9779819694868238,0.8236823855755895,0.7175797503467406,0.8150138696255201,0.9226768377253814,0.8670249653259362
146.0,0.978502080443828,0.9845700416088765,0.9821428571428571,0.8444868238557559,0.7172330097087378,0.8138002773925104,0.9183425797503467,0.863384188626907
151.0,0.978502080443828,0.9871705963938974,0.9817961165048543,0.8273231622746186,0.7184466019417476,0.8037447988904299,0.9268377253814147,0.8505547850208044
156.0,0.9767683772538142,0.9878640776699029,0.9809292649098474,0.8325242718446602,0.7354368932038835,0.8155339805825242,0.9306518723994452,0.8606102635228848
161.0,0.9771151178918169,0.9850901525658807,0.9821428571428571,0.8370319001386962,0.742371705963939,0.8077323162274619,0.9211165048543689,0.8628640776699029
166.0,0.9783287101248266,0.9866504854368932,0.9811026352288488,0.8271497919556172,0.7359570041608876,0.800624133148405,0.9221567267683772,0.8576629680998613
171.0,0.980755894590846,0.9889042995839112,0.9812760055478502,0.8132801664355063,0.7371705963938974,0.8053051317614425,0.9199029126213593,0.8467406380027739
176.0,0.9797156726768377,0.9863037447988904,0.9798890429958391,0.8174410540915396,0.7505201109570042,0.8037447988904299,0.9212898751733704,0.8580097087378641
181.0,0.9800624133148405,0.988384188626907,0.980755894590846,0.819868238557559,0.7506934812760055,0.8141470180305131,0.9296116504854369,0.8640776699029126
186.0,0.9769417475728155,0.9852635228848821,0.9795423023578363,0.8020110957004161,0.7458391123439667,0.8131067961165048,0.9153952843273232,0.8465672676837726
191.0,0.9764216366158114,0.9876907073509015,0.9821428571428571,0.8261095700416089,0.7560679611650486,0.826629680998613,0.9204230235783634,0.8574895977808599
196.0,0.9764216366158114,0.9885575589459085,0.9817961165048543,0.813626907073509,0.7453190013869625,0.8098127600554785,0.9254507628294036,0.8472607489597781
201.0,0.9746879334257975,0.9882108183079057,0.9800624133148405,0.8318307905686546,0.7578016643550625,0.8170943134535368,0.9263176144244105,0.8477808599167822
206.0,0.9764216366158114,0.9880374479889042,0.9798890429958391,0.8229889042995839,0.7630027739251041,0.8203883495145631,0.9223300970873787,0.8569694868238558
211.0,0.9743411927877947,0.9871705963938974,0.9812760055478502,0.8108529819694869,0.7624826629680999,0.812760055478502,0.92250346740638,0.8495145631067961
216.0,0.977635228848821,0.9885575589459085,0.9817961165048543,0.8108529819694869,0.7567614424410541,0.805131761442441,0.9245839112343966,0.841886269070735
221.0,0.9755547850208044,0.9880374479889042,0.9804091539528432,0.8203883495145631,0.7612690707350902,0.8105062413314841,0.9176490984743412,0.8446601941747572
226.0,0.9750346740638003,0.9873439667128987,0.9805825242718447,0.805131761442441,0.7581484049930652,0.8117198335644937,0.9259708737864077,0.8510748959778086
231.0,0.9762482662968099,0.9859570041608876,0.9798890429958391,0.811373092926491,0.7626560332871013,0.8105062413314841,0.9221567267683772,0.8472607489597781
236.0,0.9783287101248266,0.9873439667128987,0.981622746185853,0.8028779472954231,0.7619625520110958,0.7995839112343966,0.9185159500693482,0.8380721220527045
241.0,0.9774618585298197,0.9899445214979196,0.9826629680998613,0.8070388349514563,0.7609223300970874,0.8101595006934813,0.9230235783633842,0.8465672676837726
246.0,0.9743411927877947,0.9894244105409153,0.9805825242718447,0.7981969486823856,0.7699375866851595,0.8070388349514563,0.923370319001387,0.8463938973647711
251.0,0.9733009708737864,0.9876907073509015,0.9795423023578363,0.805131761442441,0.7630027739251041,0.7988904299583911,0.9195561719833565,0.8460471567267683
256.0,0.9741678224687933,0.989251040221914,0.9814493758668515,0.7971567267683772,0.7631761442441054,0.8141470180305131,0.920249653259362,0.8370319001386962
261.0,0.9760748959778086,0.9885575589459085,0.9828363384188626,0.7765256588072122,0.7636962552011096,0.812239944521498,0.9237170596393898,0.8399791955617198
266.0,0.9734743411927878,0.9890776699029126,0.9821428571428571,0.7947295423023578,0.7593619972260749,0.8044382801664355,0.9257975034674064,0.8453536754507628
271.0,0.973994452149792,0.9894244105409153,0.9833564493758669,0.8098127600554785,0.7623092926490985,0.815880721220527,0.9237170596393898,0.8455270457697642
