,_QDA_,_LDA_,_LSVM_,_SVM_,_KNN_,_DT_,_RF_,_GNB_
26.0,0.3777739251040222,0.5005201109570042,0.4736477115117892,0.41920943134535366,0.4162621359223301,0.3287101248266297,0.41678224687933424,0.3713592233009709
31.0,0.4682732316227462,0.5946601941747572,0.569868238557559,0.3885228848821082,0.43862690707350904,0.3725728155339806,0.4592579750346741,0.3604368932038835
36.0,0.4932385575589459,0.6328016643550625,0.5740291262135923,0.42562413314840497,0.4334257975034674,0.37829403606102635,0.463245492371706,0.39303051317614424
41.0,0.5603328710124826,0.6893203883495146,0.658113730929265,0.463245492371706,0.48873092926490985,0.3945908460471567,0.4843966712898752,0.4552704576976422
46.0,0.6047156726768377,0.7411581137309292,0.7004160887656034,0.5381414701803051,0.5755894590846047,0.4122746185852982,0.5341539528432733,0.5360610263522885
51.0,0.6048890429958391,0.7685506241331485,0.7447988904299584,0.5660540915395285,0.5721220527045769,0.4668862690707351,0.6076629680998613,0.6104368932038835
56.0,0.5537447988904299,0.7994105409153953,0.7217406380027739,0.5464632454923717,0.5402219140083218,0.5216712898751734,0.5847780859916782,0.505374479889043
61.0,0.6163314840499307,0.7995839112343966,0.7376907073509015,0.5932732316227461,0.5816574202496533,0.45596393897364773,0.6253467406380028,0.6260402219140083
66.0,0.6458044382801664,0.805998613037448,0.734743411927878,0.5799237170596394,0.5861650485436893,0.47572815533980584,0.6151178918169209,0.6307212205270458
71.0,0.7031900138696255,0.8411927877947295,0.8023578363384188,0.5849514563106796,0.5844313453536755,0.483876560332871,0.6674757281553398,0.6936546463245492
76.0,0.684119278779473,0.8332177531206657,0.7914355062413315,0.617371705963939,0.6175450762829403,0.5202843273231623,0.709257975034674,0.6692094313453537
81.0,0.7298890429958391,0.8417128987517337,0.8183079056865464,0.6901872399445215,0.6761442441054092,0.5010402219140083,0.7354368932038835,0.6849861303744799
86.0,0.7009361997226075,0.8703190013869625,0.8242024965325936,0.6685159500693482,0.7040568654646324,0.5606796116504854,0.7461858529819695,0.7389042995839112
91.0,0.7259015256588072,0.8895631067961165,0.8254160887656034,0.6979889042995839,0.7480929264909847,0.5544382801664355,0.7522538141470181,0.7059639389736477
96.0,0.8013176144244105,0.8867891816920943,0.8730929264909847,0.7408113730929264,0.7685506241331485,0.5683079056865464,0.7879680998613038,0.7489597780859917
101.0,0.7604022191400832,0.8691054091539528,0.8528085991678225,0.7441054091539528,0.763869625520111,0.5826976421636616,0.8009708737864077,0.7572815533980582
106.0,0.7784327323162274,0.8843619972260749,0.8647711511789181,0.6879334257975035,0.7645631067961165,0.5852981969486823,0.8077323162274619,0.7671636615811374
111.0,0.7673370319001387,0.9039528432732317,0.8574895977808599,0.7094313453536755,0.789875173370319,0.5970873786407767,0.7976768377253814,0.7633495145631068
116.0,0.7482662968099861,0.9037794729542302,0.8564493758668515,0.7581484049930652,0.8077323162274619,0.576629680998613,0.8044382801664355,0.7706310679611651
