,_QDA_,_LDA_,_LSVM_,_SVM_,_KNN_,_DT_,_RF_,_GNB_
12.25,0.9531178094799816,0.9142890013805799,0.9289001380579843,0.6663598711458812,0.8926023930050622,0.5857685227795674,0.8212724344224575,0.6671652093879429
12.5,0.9539806718821905,0.9159572020248504,0.9304532903819605,0.6663598711458812,0.8934077312471238,0.5859986194201565,0.818971468016567,0.6667050161067648
12.75,0.9544983893235158,0.9164173953060285,0.930568338702255,0.6648642429820525,0.8953635526921307,0.5944546709618039,0.8219627243442246,0.6663598711458812
13.0,0.9542107685227795,0.9153819604233778,0.9295329038196042,0.6673377818683848,0.8938679245283019,0.5950874367234238,0.8219627243442246,0.6665899677864703
13.25,0.9552462034054303,0.9172227335480903,0.9304532903819605,0.6679705476300046,0.8939254486884491,0.5944546709618039,0.8244937873907041,0.6671076852277956
13.5,0.9547860101242522,0.9167050161067648,0.9297054763000461,0.6672227335480903,0.896514035895076,0.5971583064887253,0.8249539806718822,0.6683156925908882
13.75,0.9569719282098481,0.9179705476300046,0.9306833870225495,0.6668200644270593,0.8951909802116889,0.6009549010584445,0.82731247123792,0.6678554993097101
14.0,0.9570294523699954,0.9163598711458812,0.932121491026231,0.666532443626323,0.8953635526921307,0.6033133916244823,0.8252991256327658,0.6682581684307409
14.25,0.9558789691670502,0.9193511274735389,0.9322940635066728,0.6667625402669121,0.8963414634146342,0.6013575701794753,0.8265646571560056,0.6693511274735389
14.5,0.9575471698113207,0.9179130234698574,0.93235158766682,0.6652669121030833,0.8980096640589047,0.607225034514496,0.8281753336401289,0.670041417395306
14.75,0.9577197422917625,0.9177404509894156,0.9326967326277036,0.6664749194661758,0.896514035895076,0.6086631385181777,0.8274850437183617,0.6685457892314772
15.0,0.9577197422917625,0.9191210308329498,0.9336746433502071,0.6673377818683848,0.8984123331799355,0.6108490566037735,0.8289806718821905,0.6698688449148642
