,_QDA_,_LDA_,_LSVM_,_SVM_,_KNN_,_DT_,_RF_,_GNB_
26.0,0.6773578363384188,0.6404299583911235,0.6321081830790569,0.4573509015256588,0.2538141470180305,0.4185159500693481,0.5568654646324549,0.457871012482663
31.0,0.7454923717059639,0.7094313453536755,0.7021497919556172,0.4908113730929265,0.29178224687933424,0.5064147018030514,0.6360957004160888,0.5449029126213593
36.0,0.8261095700416089,0.7950762829403606,0.7642163661581137,0.4561373092926491,0.2855409153952843,0.5605062413314841,0.7193134535367545,0.6386962552011096
41.0,0.856622746185853,0.8387656033287101,0.8125866851595007,0.5540915395284327,0.32524271844660196,0.5799237170596394,0.7451456310679612,0.6978155339805825
46.0,0.8776005547850209,0.8488210818307905,0.8283633841886269,0.5728155339805825,0.3311373092926491,0.5917128987517337,0.7538141470180305,0.6771844660194175
51.0,0.9160887656033287,0.901005547850208,0.8880027739251041,0.6731969486823856,0.4157420249653259,0.6506588072122053,0.8290568654646324,0.7548543689320388
56.0,0.9223300970873787,0.9112343966712899,0.9036061026352289,0.7274618585298197,0.4401872399445215,0.6962552011095701,0.8417128987517337,0.7855409153952844
61.0,0.9339459084604715,0.9188626907073509,0.9167822468793343,0.7253814147018031,0.4672330097087379,0.7083911234396671,0.8630374479889042,0.7926490984743412
66.0,0.9429611650485437,0.930998613037448,0.9197295423023578,0.6976421636615812,0.4592579750346741,0.7118585298196949,0.874133148404993,0.823509015256588
71.0,0.951629680998613,0.941747572815534,0.9348127600554785,0.7647364771151179,0.48873092926490985,0.7354368932038835,0.8833217753120666,0.8311373092926491
76.0,0.9545769764216366,0.9559639389736477,0.9452149791955617,0.7746185852981969,0.5195908460471568,0.7420249653259362,0.901005547850208,0.8559292649098474
81.0,0.9563106796116505,0.9518030513176144,0.9403606102635229,0.7912621359223301,0.5799237170596394,0.7387309292649098,0.8925104022191401,0.8356449375866851
86.0,0.960124826629681,0.955617198335645,0.9523231622746186,0.7805131761442441,0.5653606102635229,0.7626560332871013,0.8966712898751734,0.8533287101248266
91.0,0.9616851595006934,0.9625520110957004,0.9549237170596394,0.826629680998613,0.59500693481276,0.7545076282940361,0.8968446601941747,0.8580097087378641
96.0,0.9682732316227461,0.9745145631067961,0.9680998613037448,0.8613037447988904,0.6456310679611651,0.7877947295423023,0.9155686546463245,0.8687586685159501
101.0,0.9717406380027739,0.9726074895977809,0.9660194174757282,0.8444868238557559,0.6487517337031901,0.7770457697642164,0.9103675450762829,0.8625173370319001
106.0,0.9715672676837726,0.9762482662968099,0.9689667128987517,0.8391123439667129,0.6380027739251041,0.7966366158113731,0.9244105409153953,0.8668515950069348
111.0,0.9717406380027739,0.9771151178918169,0.9653259361997226,0.8451803051317615,0.65499306518724,0.7919556171983356,0.9176490984743412,0.8647711511789181
116.0,0.9729542302357836,0.9727808599167822,0.9689667128987517,0.8385922330097088,0.6865464632454924,0.7999306518723994,0.9221567267683772,0.8581830790568654
121.0,0.9786754507628294,0.981622746185853,0.9778085991678225,0.8590499306518724,0.7030166435506241,0.7992371705963939,0.9257975034674064,0.8727461858529819
126.0,0.9736477115117892,0.9800624133148405,0.9724341192787794,0.8307905686546463,0.7005894590846047,0.7923023578363384,0.920249653259362,0.8630374479889042
131.0,0.9771151178918169,0.9833564493758669,0.9778085991678225,0.8654646324549237,0.7189667128987517,0.7969833564493759,0.9335991678224688,0.8711858529819695
